match_id,balls_per_over,team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,bowl_out,reserve_umpire,event,match_number,method,eliminator,toss_uncontested
1317906,6,India,West Indies,male,2022,2022-08-06,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,West Indies,field,Avesh Khan,GO Brathwaite,PA Gustard,N Duguid,RB Richardson,India,59,NA,NA,NA,LS Reifer,West Indies v India T20I Series,4,NA,NA,NA
1317907,6,India,West Indies,male,2022,2022-08-07,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,India,bat,AR Patel,GO Brathwaite,LS Reifer,PA Gustard,RB Richardson,India,88,NA,NA,NA,N Duguid,West Indies v India T20I Series,5,NA,NA,NA
1307159,6,Afghanistan,Ireland,male,2022,2022-08-09,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Afghanistan,bat,A Balbirnie,PA Reynolds,R Black,NA,G McCrea,Ireland,NA,7,NA,NA,M Hawthorne,Afghanistan tour of Ireland,1,NA,NA,NA
1317908,6,New Zealand,West Indies,male,2022,2022-08-10,"Sabina Park, Kingston, Jamaica",Kingston,West Indies,field,MJ Santner,N Duguid,PA Gustard,GO Brathwaite,RB Richardson,New Zealand,13,NA,NA,NA,LS Reifer,New Zealand tour of West Indies,1,NA,NA,NA
1307160,6,Afghanistan,Ireland,male,2022,2022-08-11,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Afghanistan,bat,J Little,Jareth McCready,PA Reynolds,NA,G McCrea,Ireland,NA,5,NA,NA,R Black,Afghanistan tour of Ireland,2,NA,NA,NA
1307161,6,Afghanistan,Ireland,male,2022,2022-08-12,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,Rahmanullah Gurbaz,M Hawthorne,R Black,NA,G McCrea,Afghanistan,22,NA,NA,NA,PA Reynolds,Afghanistan tour of Ireland,3,NA,NA,NA
1317909,6,New Zealand,West Indies,male,2022,2022-08-12,"Sabina Park, Kingston, Jamaica",Kingston,New Zealand,bat,GD Phillips,LS Reifer,PA Gustard,GO Brathwaite,RB Richardson,New Zealand,90,NA,NA,NA,N Duguid,New Zealand tour of West Indies,2,NA,NA,NA
1328470,6,Kuwait,Bahrain,male,2022,2022-08-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Mohamed Shafeeq,Azad KR,Harikrishna Pillai,NA,NA,Kuwait,20,NA,NA,NA,Anantha Rajamani,Bahrain tour of Oman,2,NA,NA,NA
1317910,6,New Zealand,West Indies,male,2022,2022-08-14,"Sabina Park, Kingston, Jamaica",Kingston,New Zealand,bat,BA King,GO Brathwaite,N Duguid,LS Reifer,RB Richardson,West Indies,NA,8,NA,NA,PA Gustard,New Zealand tour of West Indies,3,NA,NA,NA
1328471,6,Bahrain,Kuwait,male,2022,2022-08-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,field,Usman Patel,Anantha Rajamani,Harikrishna Pillai,NA,NA,Kuwait,NA,5,NA,NA,Vinod Babu,Bahrain tour of Oman,3,NA,NA,NA
